sample_0	0	8	16	24	32	40
sample_1	1	9	17	25	33	41
sample_2	2	10	18	26	34	42
sample_3	3	11	19	27	35	43
sample_4	4	12	20	28	36	44
sample_5	5	13	21	29	37	45
sample_6	6	14	22	30	38	46
sample_7	7	15	23	31	39	47
sample_8	0	9	18	27	36	45
sample_9	1	8	19	26	37	44
sample_10	2	11	16	25	38	47
sample_11	3	10	17	24	39	46
sample_12	4	13	22	31	32	41
sample_13	5	12	23	30	33	40
sample_14	6	15	20	29	34	43
sample_15	7	14	21	28	35	42
sample_16	0	10	20	30	35	41
sample_17	1	11	21	31	34	40
sample_18	2	8	22	28	33	43
sample_19	3	9	23	29	32	42
sample_20	4	14	16	26	39	45
sample_21	5	15	17	27	38	44
sample_22	6	12	18	24	37	47
sample_23	7	13	19	25	36	46
sample_24	0	11	22	29	39	44
sample_25	1	10	23	28	38	45
sample_26	2	9	20	31	37	46
sample_27	3	8	21	30	36	47
sample_28	4	15	18	25	35	40
sample_29	5	14	19	24	34	41
sample_30	6	13	16	27	33	42
sample_31	7	12	17	26	32	43
sample_32	0	12	19	31	38	42
sample_33	1	13	18	30	39	43
sample_34	2	14	17	29	36	40
sample_35	3	15	16	28	37	41
sample_36	4	8	23	27	34	46
sample_37	5	9	22	26	35	47
sample_38	6	10	21	25	32	44
sample_39	7	11	20	24	33	45
sample_40	0	13	17	28	34	47
sample_41	1	12	16	29	35	46
sample_42	2	15	19	30	32	45
sample_43	3	14	18	31	33	44
sample_44	4	9	21	24	38	43
sample_45	5	8	20	25	39	42
sample_46	6	11	23	26	36	41
sample_47	7	10	22	27	37	40
sample_48	0	14	23	25	37	43
sample_49	1	15	22	24	36	42
sample_50	2	12	21	27	39	41
sample_51	3	13	20	26	38	40
sample_52	4	10	19	29	33	47
sample_53	5	11	18	28	32	46
sample_54	6	8	17	31	35	45
sample_55	7	9	16	30	34	44
sample_56	0	15	21	26	33	46
sample_57	1	14	20	27	32	47
sample_58	2	13	23	24	35	44
sample_59	3	12	22	25	34	45
sample_60	4	11	17	30	37	42
sample_61	5	10	16	31	36	43
sample_62	6	9	19	28	39	40
sample_63	7	8	18	29	38	41
sample_64	0	9	20	29	38	47
sample_65	1	8	21	28	39	46
sample_66	2	11	22	31	36	45
sample_67	3	10	23	30	37	44
sample_68	4	13	16	25	34	43
sample_69	5	12	17	24	35	42
sample_70	6	15	18	27	32	41
sample_71	7	14	19	26	33	40
sample_72	0	8	22	30	34	42
